,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
180,Kosmos-17,1963-05-22,1.8,265.0,751.0,48.97,1963-017A,319.13,1.2,1.8,1.8,True,,17,1,15,21,1,11
181,Kosmos-18,1963-05-24,6.5,203.0,278.0,64.91,1963-018A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,18
184,DASH 1,1963-05-09,2.4,3611.0,3676.0,87.36,1963-014D,1.0,2.4,2.4,2.4,True,,26,0,24,48,4,4
185,OPS 0954,1963-06-12,2.3,181.0,405.0,81.81,1963-019A,1528.0,1.52,7.08,7.08,True,30.0,11,0,3,19,1,15
186,Vostok-5,1963-06-14,6.5,158.0,164.0,64.92,1963-020A,4707.63,2.4,4.3,4.3,True,5.457638888888889,1,1,1,1,1,18
189,Transit VA-3,1963-06-16,30.0,728.0,754.0,90.02,1963-022A,54.51,0.5,0.2,30.0,True,9910.0,5,0,6,40,9,22
190,Vostok-6,1963-06-16,6.5,163.0,191.0,64.92,1963-023A,4670.96,2.4,4.3,4.3,True,3.34375,1,1,1,1,1,18
192,SURCAL,1963-06-15,0.2,139.0,768.0,69.69,1963-021F,2.97,0.2,0.2,0.2,True,20.0,24,0,19,39,1,23
193,NRL PL112,1963-06-15,0.5,173.0,829.0,69.92,1963-021E,34.69,0.61,0.61,0.61,True,42.0,23,0,19,35,1,4
194,SR VI,1963-06-15,0.5,165.0,846.0,69.77,1963-021C,38.65,0.61,0.61,0.61,True,47.0,23,0,19,37,1,4
195,NRL PL130,1963-06-15,0.5,174.0,837.0,69.94,1963-021D,24.78,0.51,0.51,0.51,True,45.0,23,0,19,37,1,4
196,Lofti IIB,1963-06-15,12.0,169.0,834.0,69.86,1963-021B,25.77,0.5,0.5,12.0,True,33.0,24,0,19,35,1,19
199,Tiros 7,1963-06-19,1.1,614.0,656.0,58.21,1963-024A,133.8,1.07,0.56,1.07,True,11307.0,2,0,8,9,0,2
203,TRS 6,1963-05-09,0.2,3634.0,3654.0,87.35,1963-014C,1.0,0.2,0.2,0.2,True,,7,0,4,47,4,21
204,OPS 0999,1963-06-27,2.3,185.0,388.0,81.62,1963-025A,1486.62,1.52,7.08,7.08,True,29.0,11,0,3,19,1,2
205,GRS,1963-06-28,1.0,421.0,1298.0,49.74,1963-026A,98.41,0.59,2.54,2.54,True,7474.0,27,0,25,49,0,2
206,OPS 1440,1963-06-29,4.0,485.0,521.0,82.31,1963-027A,1309.0,1.5,7.99,7.99,True,,16,0,13,26,1,16
207,Hitchhiker 1,1963-06-27,0.8,331.0,4125.0,82.14,1963-025B,126.0,0.9,0.3,0.9,True,,16,0,3,50,4,23
208,OPS 1467,1963-07-12,5.0,185.0,189.0,95.37,1963-028A,2190.0,1.52,7.08,7.08,True,6.0,16,0,26,51,12,15
210,OPS 1266,1963-07-19,2.3,188.0,366.0,82.87,1963-029A,1233.0,1.52,7.08,7.08,True,25.0,11,0,3,19,1,15
211,Midas 9,1963-07-19,2.0,3670.0,3732.0,88.42,1963-030A,1540.0,1.5,8.99,8.99,True,,7,0,3,10,4,9
212,DASH 2,1963-07-19,2.4,3677.0,3731.0,88.41,1963-030D,1.24,2.4,2.4,2.4,True,,7,0,27,48,4,4
214,OPS 1370,1963-07-31,3.8,168.0,467.0,74.9,1963-032A,1574.0,1.52,7.08,7.08,True,12.0,11,0,3,46,1,15
218,Kosmos-19,1963-08-06,1.2,277.0,478.0,48.95,1963-033A,351.83,1.2,1.8,1.8,True,,20,1,15,27,1,24
220,Syncom 2,1963-07-26,0.4,35784.0,35793.0,32.88,1963-031A,38.65,0.71,0.39,0.71,True,,2,0,21,43,13,2
221,TRS 9,1963-07-19,0.2,3663.0,3734.0,88.41,1963-030B,0.79,0.2,0.2,0.2,True,,7,0,4,47,4,21
222,OPS 1419,1963-08-25,2.5,184.0,436.0,75.0,1963-034A,1530.0,1.52,7.08,7.08,True,,11,0,3,52,1,15
223,OPS 1561,1963-08-29,1.3,277.0,298.0,81.85,1963-035A,991.08,1.52,7.08,7.08,True,70.0,19,0,3,25,1,2
224,0.1 Square Meter Target,1963-08-29,0.1,312.0,423.0,81.86,1963-035B,10.0,0.1,0.1,0.1,True,31.0,26,0,28,53,1,4
225,OPS 1947,1963-09-06,5.0,174.0,277.0,94.37,1963-036A,2190.0,1.52,7.08,7.08,True,,16,0,26,51,6,15
228,OPS 1353,1963-09-23,2.5,177.0,370.0,74.96,1963-037A,1553.0,1.52,7.08,7.08,True,19.0,11,0,3,52,1,15
230,Transit VBN-1,1963-09-28,31.0,1071.0,1131.0,89.9,1963-038B,69.38,0.7,0.3,31.0,True,,5,0,6,40,9,25
231,Transit VE-1,1963-09-28,3.0,1071.0,1129.0,89.9,1963-038C,60.46,0.5,0.2,3.0,True,,5,0,6,40,9,5
232,Kosmos-20,1963-10-18,6.5,202.0,297.0,64.89,1963-040A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,18
233,Vela 1A,1963-10-17,1.4,101081.0,116581.0,38.71,1963-039A,148.66,1.4,1.4,1.4,True,,7,0,4,54,5,24
234,ERS 12,1963-10-17,0.2,952.0,102375.0,35.9,1963-039B,1.98,0.2,0.2,0.2,True,842.0,7,0,4,55,5,21
236,OPS 2196,1963-10-25,5.0,119.0,292.0,99.08,1963-041A,2190.0,1.52,7.08,7.08,True,4.0,16,0,26,51,12,15
238,OPS 2437,1963-10-29,1.3,275.0,308.0,89.91,1963-042A,1270.0,1.52,7.08,7.08,True,,19,0,3,25,6,26
239,PUNDIT I,1963-10-29,0.8,290.0,568.0,89.98,1963-042B,100.0,0.9,0.3,0.9,True,,16,0,29,50,6,23
240,Polyot,1963-11-01,4.0,327.0,1418.0,58.88,1963-043A,1950.0,2.0,4.0,4.0,True,6924.0,28,1,30,56,0,16
241,Kosmos-21,1963-11-11,3.0,180.0,219.0,64.78,1963-044A,5890.0,1.1,2.7,3.0,True,,1,1,1,34,1,27
243,Kosmos-22,1963-11-16,6.5,194.0,381.0,64.9,1963-045A,5650.0,2.4,5.0,5.0,True,,29,1,31,57,1,18
245,IMP 1,1963-11-27,2.5,2072.0,194080.0,35.29,1963-046A,61.45,0.7,0.3,2.5,True,,2,0,22,58,14,5
247,OPS 2260,1963-11-27,2.3,178.0,349.0,69.94,1963-048A,1486.62,1.52,7.08,7.08,True,18.0,11,0,3,19,1,2
250,Transit VBN-2,1963-12-05,30.0,1064.0,1114.0,89.97,1963-049B,74.33,0.5,0.6,30.0,True,,5,0,6,40,9,28
251,Transit VE-3,1963-12-05,3.0,1066.0,1119.0,89.95,1963-049C,52.53,0.5,0.3,3.0,True,,5,0,6,40,9,5
252,Kosmos-23,1963-12-13,3.0,237.0,528.0,48.96,1963-050A,343.9,1.2,2.0,3.0,True,,25,1,23,45,1,20
254,OPS 2372,1963-12-18,5.0,126.0,271.0,97.9,1963-051A,2190.0,1.52,7.08,7.08,True,,16,0,26,51,12,15
255,Kosmos-24,1963-12-19,6.5,199.0,393.0,65.03,1963-052A,4707.63,2.4,4.3,4.3,True,,29,1,31,24,1,18
257,Explorer 19,1963-12-19,3.6,588.0,2389.0,78.6,1963-053A,6.94,3.65,3.65,3.65,True,6352.0,9,0,32,59,0,4
258,Tiros 8,1963-12-21,1.1,697.0,757.0,58.49,1963-054A,117.94,1.07,0.56,1.07,True,,2,0,8,9,0,2
260,OPS 1388,1963-12-21,2.3,178.0,352.0,64.87,1963-055A,1270.0,1.52,7.08,7.08,True,,11,0,3,19,1,15
261,PUNDIT II,1963-12-21,0.8,312.0,389.0,64.52,1963-055B,100.0,0.9,0.3,0.9,True,,16,0,29,50,1,23
265,GGSE 1,1964-01-11,9.0,907.0,935.0,69.93,1964-001B,38.65,0.5,0.5,9.0,True,,23,0,19,35,0,19
266,EGRS I,1964-01-11,0.3,905.0,932.0,69.9,1964-001C,17.84,0.28,0.23,0.36,True,,30,0,33,60,0,23
267,SR 7A,1964-01-11,0.5,909.0,934.0,69.9,1964-001D,44.6,0.6,0.6,0.6,True,,23,0,19,37,0,4
268,GREB,1964-01-11,0.5,906.0,937.0,69.88,1964-001E,29.0,0.5,0.5,0.5,True,,23,0,19,35,0,4
270,OPS 3367A,1964-01-19,0.6,808.0,822.0,99.05,1964-002B,128.84,1.0,0.5,1.0,True,,16,0,8,42,10,2
271,OPS 3367B,1964-01-19,0.6,808.0,826.0,99.05,1964-002C,128.84,1.0,0.5,1.0,True,,16,0,8,42,10,2
273,Relay 2,1964-01-21,1.3,2090.0,7411.0,46.29,1964-003A,77.3,0.8,0.8,1.3,True,,2,0,8,36,4,29
275,Echo 2,1964-01-25,41.0,1008.0,1338.0,81.48,1964-004A,278.0,41.14,41.14,41.14,True,1960.0,9,0,32,61,0,4
278,Elektron-1,1964-01-30,4.0,394.0,7124.0,60.83,1964-006A,326.07,0.65,1.5,4.0,True,,1,1,1,62,4,30
279,Ranger 6,1964-01-30,4.6,,,,1964-007A,377.6,1.53,3.13,4.57,True,,8,0,5,63,7,31
280,Elektron-2,1964-01-30,5.0,408.0,68014.0,60.46,1964-006B,440.04,0.85,1.8,5.0,True,12136.0,1,1,1,62,8,32
283,OPS 3444,1964-02-15,2.1,182.0,410.0,74.95,1964-008A,1598.0,1.5,7.08,7.08,True,,11,0,3,52,1,2
284,OPS 2423,1964-02-25,5.0,159.0,187.0,95.6,1964-009A,2190.0,1.52,7.08,7.08,True,,16,0,26,51,12,15
287,Kosmos-25,1964-02-27,1.2,260.0,494.0,49.05,1964-010A,351.83,1.2,1.8,1.8,True,268.0,20,1,15,27,1,24
289,OPS 3722,1964-02-28,2.0,493.0,509.0,82.07,1964-011A,1401.0,1.52,7.08,7.08,True,1818.0,16,0,13,26,1,16
290,OPS 3435,1964-03-11,5.0,161.0,196.0,95.77,1964-012A,2190.0,1.52,7.08,7.08,True,,16,0,26,51,12,15
292,Kosmos-26,1964-03-18,1.8,263.0,367.0,48.97,1964-013A,361.74,1.2,1.8,1.8,True,194.0,17,1,15,21,1,11
295,Ariel 2,1964-03-27,40.0,289.0,1343.0,51.65,1964-015A,67.39,0.6,0.9,40.0,True,1331.0,31,2,16,23,0,33
