,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
2178,Starlink 1188,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2179,Starlink 1189,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2180,Starlink 1190,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9
2181,Starlink 1191,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2182,Starlink 1192,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2183,Starlink 1193,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9
2184,Starlink 1194,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9
2185,Starlink 1195,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9
2186,Starlink 1196,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,90.5,227.0,2020-01-29,,SpaceX,USA,Cape Canaveral,Falcon 9
2187,Starlink 1197,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2188,Starlink 1198,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2189,Starlink 1199,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2190,Starlink 1200,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2191,Starlink 1201,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2192,Starlink 1202,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2193,Starlink 1203,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,550,0.00014452955629426219,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2194,Starlink 1204,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2195,Starlink 1205,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.1,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2196,Starlink 1206,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2197,Starlink 1207,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,NR (4/20),USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2198,Starlink 1208,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2199,Starlink 1209,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2200,Starlink 1210,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2201,Starlink 1211,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2202,Starlink 1212,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897252,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2203,Starlink 1213,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,NR (4/20),USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2204,Starlink 1214,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897252,53.0,90.8,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2205,Starlink 1215,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2206,Starlink 1216,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2207,Starlink 1217,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2208,Starlink 1218,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2209,Starlink 1219,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2210,Starlink 1221,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897252,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2211,Starlink 1222,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2212,Starlink 1224,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2213,Starlink 1225,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2214,Starlink 1226,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2215,Starlink 1227,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2216,Starlink 1228,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2217,Starlink 1229,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2218,Starlink 1230,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2219,Starlink 1231,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2220,Starlink 1232,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2221,Starlink 1233,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2222,Starlink 1234,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2223,Starlink 1235,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2224,Starlink 1236,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2225,Starlink 1237,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2226,Starlink 1238,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2227,Starlink 1239,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2228,Starlink 1240,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2229,Starlink 1241,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2230,Starlink 1243,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2231,Starlink 1244,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2232,Starlink 1245,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2233,Starlink 1246,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,89.9,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2234,Starlink 1247,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2235,Starlink 1254,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.2,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2236,Starlink 1255,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.2,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2237,Starlink 1256,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2238,Starlink 1257,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2239,Starlink 1258,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2240,Starlink 1259,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2241,Starlink 1260,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2242,Starlink 1261,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,526,528,0.0001449905756125852,53.1,95.6,227.0,2020-04-22,,SpaceX,USA,Cape Canaveral,Falcon 9
2243,Starlink 1262,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.6,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2244,Starlink 1263,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2245,Starlink 1264,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2246,Starlink 1265,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2247,Starlink 1266,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2248,Starlink 1267,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2249,Starlink 1269,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,91.0,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2250,Starlink 1270,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2251,Starlink 1271,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,90.3,227.0,2020-02-17,,SpaceX,USA,Cape Canaveral,Falcon 9
2252,Starlink 1272,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2253,Starlink 1273,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.6,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2254,Starlink 1274,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,569,571,0.00014409221902017292,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2255,Starlink 1275,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2256,Starlink 1276,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.5,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2257,Starlink 1277,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.5,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2258,Starlink 1278,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.0,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2259,Starlink 1279,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,92.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
2260,Starlink 1280,Payload,260.0,Box + 1 Pan,3.3,0.2,9.0,,23.656999999999996,0.9049,13.603151102941101,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,94.1,227.0,2020-03-18,,SpaceX,SpaceX,Cape Canaveral,Falcon 9
