,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
2552,Starlink-1481,Starlink-1481,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038N,45742,
2553,Starlink-1482 ,Starlink-1482 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AV,45773,
2554,Starlink-1483 ,Starlink-1483 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038P,45743,
2555,Starlink-1484,Starlink-1484,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,382,0.00022220576253610843,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AC,45756,
2556,Starlink-1485 ,Starlink-1485 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AW,45774,
2557,Starlink-1486,Starlink-1486,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,383,386,0.00022207417277370642,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AD,45757,
2558,Starlink-1487 ,Starlink-1487 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,383,385,0.00014806040864672785,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AE,45758,
2559,Starlink-1488 ,Starlink-1488 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,381,0.00014814814814814815,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AX,45775,
2560,Starlink-1489 ,Starlink-1489 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AY,45776,
2561,Starlink-1490 ,Starlink-1490 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AZ,45777,
2562,Starlink-1491,Starlink-1491,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BA,45778,
2563,Starlink-1492 ,Starlink-1492 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BB,45779,
2564,Starlink-1493 ,Starlink-1493 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,383,391,0.0005919786887672044,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AF,45759,
2565,Starlink-1494,Starlink-1494,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AG,45760,
2566,Starlink-1495 ,Starlink-1495 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AH,45761,
2567,Starlink-1496,Starlink-1496,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BC,45780,
2568,Starlink-1497 ,Starlink-1497 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,381,0.00014814814814814815,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BD,45781,
2569,Starlink-1498,Starlink-1498,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BE,45782,
2570,Starlink-1499,Starlink-1499,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AJ,45762,
2571,Starlink-1500,Starlink-1500,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038Q,45744,
2572,Starlink-1501,Starlink-1501,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AK,45763,
2573,Starlink-1502,Starlink-1502,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,381,0.00014814814814814815,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AL,45764,
2574,Starlink-1503 ,Starlink-1503 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038R,45745,
2575,Starlink-1504,Starlink-1504,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038S,45746,
2576,Starlink-1505 ,Starlink-1505 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BF,45783,
2577,Starlink-1506 ,Starlink-1506 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,551,0.00014450867052023122,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038T,45747,
2578,Starlink-1507 ,Starlink-1507 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,549,550,7.225955632632416e-05,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038U,45748,
2579,Starlink-1508 ,Starlink-1508 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AM,45765,
2580,Starlink-1509 ,Starlink-1509 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,383,386,0.00022207417277370642,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AN,45766,
2581,Starlink-1510 ,Starlink-1510 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,381,0.00014814814814814815,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BG,45784,
2582,Starlink-1511 ,Starlink-1511 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,382,385,0.00022210705560079958,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AP,45767,
2583,Starlink-1512,Starlink-1512,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BH,45785,
2584,Starlink-1513 ,Starlink-1513 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,381,0.00022223868434698867,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BJ,45786,
2585,Starlink-1514 ,Starlink-1514 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055V,46046,
2586,Starlink-1515 ,Starlink-1515 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AQ,46065,
2587,Starlink-1516 ,Starlink-1516 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,377,378,7.410151908114116e-05,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038V,45749,
2588,Starlink-1517 ,Starlink-1517 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,379,381,0.00014814814814814815,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038BK,45787,
2589,Starlink-1521 ,Starlink-1521 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,378,380,0.0001481700992739665,53.0,96.5,227.0,,,2020-06-13,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-038AQ,45768,
2590,Starlink-1522 ,Starlink-1522 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055A,46027,
2591,Starlink-1523 ,Starlink-1523 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055B,46028,
2592,Starlink-1524 ,Starlink-1524 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055W,46047,
2593,Starlink-1525 ,Starlink-1525 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AR,46066,
2594,Starlink-1526 ,Starlink-1526 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055C,46029,
2595,Starlink-1527 ,Starlink-1527 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055X,46048,
2596,Starlink-1529 ,Starlink-1529 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AS,46067,
2597,Starlink-1530 ,Starlink-1530 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055Y,46049,
2598,Starlink-1531 ,Starlink-1531 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,561,0.0009386959347245288,53.0,95.6,260.0,,,2020-10-06,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-070AS,46572,
2599,Starlink-1532 ,Starlink-1532 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AT,46068,
2600,Starlink-1533 ,Starlink-1533 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AU,46069,
2601,Starlink-1534 ,Starlink-1534 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055D,46030,
2602,Starlink-1535 ,Starlink-1535 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055Z,46050,
2603,Starlink-1536,Starlink-1536,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AV,46070,
2604,Starlink-1538 ,Starlink-1538 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AW,46071,
2605,Starlink-1539 ,Starlink-1539 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AX,46072,
2606,Starlink-1540 ,Starlink-1540 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AA,46051,
2607,Starlink-1541 ,Starlink-1541 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AB,46052,
2608,Starlink-1542 ,Starlink-1542 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AY,46073,
2609,Starlink-1543 ,Starlink-1543 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AC,46053,
2610,Starlink-1544 ,Starlink-1544 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055E,46031,
2611,Starlink-1545 ,Starlink-1545 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-18,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057AR,46156,
2612,Starlink-1546,Starlink-1546,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062X,46346,
2613,Starlink-1547,Starlink-1547,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062Y,46347,
2614,Starlink-1548 ,Starlink-1548 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AD,46054,
2615,Starlink-1549 ,Starlink-1549 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AZ,46074,
2616,Starlink-1550,Starlink-1550,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AS,46365,
2617,Starlink-1551 ,Starlink-1551 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BA,46075,
2618,Starlink-1552 ,Starlink-1552 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BB,46076,
2619,Starlink-1553,Starlink-1553,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062Z,46348,
2620,Starlink-1554 ,Starlink-1554 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AE,46055,
2621,Starlink-1555 ,Starlink-1555 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055F,46032,
2622,Starlink-1556 ,Starlink-1556 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055G,46033,
2623,Starlink-1557 ,Starlink-1557 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055H,46034,
2624,Starlink-1558 ,Starlink-1558 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055J,46035,
2625,Starlink-1559 ,Starlink-1559 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BC,46077,
2626,Starlink-1560 ,Starlink-1560 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055K,46036,
2627,Starlink-1561 ,Starlink-1561 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AF,46056,
2628,Starlink-1562 ,Starlink-1562 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AG,46057,
2629,Starlink-1563 ,Starlink-1563 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BD,46078,
2630,Starlink-1564 ,Starlink-1564 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AH,46058,
2631,Starlink-1565 ,Starlink-1565 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055L,46037,
2632,Starlink-1566 ,Starlink-1566 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BE,46079,
2633,Starlink-1567 ,Starlink-1567 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055M,46038,
2634,Starlink-1568 ,Starlink-1568 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BF,46080,
2635,Starlink-1569 ,Starlink-1569 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055N,46039,
2636,Starlink-1570 ,Starlink-1570 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AJ,46059,
2637,Starlink-1571 ,Starlink-1571 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BG,46081,
2638,Starlink-1572 ,Starlink-1572 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AK,46060,
2639,Starlink-1573 ,Starlink-1573 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AL,46061,
2640,Starlink-1574 ,Starlink-1574 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AM,46062,
2641,Starlink-1575,Starlink-1575,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-09-03,4.0,SpaceX,USA,Cape Canaveral,Falcon 9,2020-062AA,46349,
2642,Starlink-1576 ,Starlink-1576 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055P,46040,
2643,Starlink-1577 ,Starlink-1577 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AN,46063,
2644,Starlink-1578 ,Starlink-1578 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BH,46082,
2645,Starlink-1579 ,Starlink-1579 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055BJ,46083,
2646,Starlink-1580 ,Starlink-1580 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055Q,46041,
2647,Starlink-1581 ,Starlink-1581 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055R,46042,
2648,Starlink-1582 ,Starlink-1582 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055S,46043,
2649,Starlink-1583 ,Starlink-1583 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055AP,46064,
2650,Starlink-1584 ,Starlink-1584 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-07,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-055T,46044,
2651,Starlink-1585 ,Starlink-1585 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-18,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057A,46117,
2652,Starlink-1586 ,Starlink-1586 ,USA,USA,SpaceX,Commercial,Communications,,LEO,Non-Polar Inclined,0.0,548,551,0.00021677866897897247,53.0,95.6,260.0,,,2020-08-18,,SpaceX,USA,Cape Canaveral,Falcon 9,2020-057W,46137,
