,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
56,Al-Farabi-2,Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,573,589,0.0011509135376204863,97.7,96.2,4.0,,,2018-12-03,,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.
57,ALiCE  (AFIT LEO iMESA CNT E),ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,,LEO,Polar,0.0,443,886,0.03148766792238254,120.3,98.0,5.0,,,2013-12-06,,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
58,Alsat 2B,Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,646,660,0.0009967250462765201,98.2,97.7,117.0,,,2016-09-26,5.0,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.
59,Alsat-1B,Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,661,704,0.0030485643388869195,98.2,98.4,103.0,,,2016-09-26,5.0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
60,AlSat-1N,AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0.0,661,698,0.0026242995957160083,98.2,98.3,10.0,,,2016-09-26,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.
61,Alsat-2A (Algeria Satellite 2A),Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,672,674,0.0001419849495953429,98.1,98.2,130.0,,,2010-07-12,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
62,Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35767,35805,0.00045070689818768383,0.03,1436.08,5465.0,,15300,2009-10-01,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America."
63,Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35781,35791,0.00011860707847044311,0.03,1436.05,6265.0,2778,14000,2013-02-07,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,
64,Amazonas-4A,Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35784,35795,0.00013045695513466714,0.08,1436.24,2938.0,,,2014-03-22,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.
65,Amazonas-5,Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35785,35789,4.74417060037479e-05,0.04,1436.11,5900.0,,,2017-09-12,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-053A,42934,"34 Ka-band, 24 Ku-band"
66,"AMC-1 (Americom 1, GE-1)",AMC-1,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-129.15,35772,35800,0.00033209981971724073,0.03,1436.1,2783.0,1600,"6,500 (EOL)",1996-09-08,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
67,"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-130.93,35774,35797,0.00027279951607738016,0.04,1436.07,2340.0,2316,"6,500 (EOL)",2004-05-19,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.
68,AMC-15 (Americom-15),AMC-15,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-105.04,35777,35795,0.0002134927412467976,0.04,1436.08,4200.0,,,2004-10-14,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
69,AMC-16 (Americom-16),AMC-16,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-84.98,35780,35793,0.00015418737324018834,0.02,1436.1,4312.0,,,2004-12-17,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
70,AMC-18 (Americom 18),AMC-18,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-104.97,35773,35800,0.00032023531365269885,0.06,1436.1,2081.0,918,,2006-12-08,15.0,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.
