id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47458,,,,58901,Unknown,,,,,,,,,
47459,,,,65301,Unknown,,,,,,,,,
47460,,,,142113,Unknown,,,,,,,,,
47461,,,,78001,Unknown,,,,,,,,,
47462,,,,64307,Unknown,,,,,,,,,
47463,,,,143422,Unknown,,,,,,,,,
47464,,,,64703,Unknown,,,,,,,,,
47465,,,,65604,Unknown,,,,,,,,,
47466,,,,139208,Unknown,,,,,,,,,
47467,,,,187600,Unknown,,,,,,,,,
47468,,,,143571,Unknown,,,,,,,,,
47469,,,,70103,Unknown,,,,,,,,,
47470,,,,64602,Unknown,,,,,,,,,
47471,,,,140509,Unknown,,,,,,,,,
47472,,,,65502,Unknown,,,,,,,,,
47473,,,,142815,Unknown,,,,,,,,,
47474,,,,41701,Unknown,,,,,,,,,
47475,,,,67301,Unknown,,,,,,,,,
47476,,,,170600,Unknown,,,,,,,,,
47477,,,,74102,Unknown,,,,,,,,,
47478,,,,64506,Unknown,,,,,,,,,
47479,Beidou DW 24,43001,2017-069A,,Payload,1014,Box + 2 Pan,1.7,2.2,10,,17.3155511995055,2.89,8.9844
47480,Beidou DW 25,43002,2017-069B,,Payload,1014,Box + 2 Pan,1.7,2.2,10,,17.3155511995055,2.89,8.9844
47481,H-18 (Long March (CZ) YF) (Long March (CZ) 3B/YZ-1),43003,2017-069C,,Rocket Body,2800,Cyl + 1 Nozzle,3,12.83,12.83,,39.1336807913658,7.06858347057703,33.7642670444563
47482,YZ-1 (Long March (CZ) 3B/YZ-1),43004,2017-069D,,Rocket Body,5000,Double Cone,3,4,4,,7.06858347057703,5.65486677646163,5.89048622548086
47483,Mohammed VI-A,43005,2017-070A,,Payload,1110,Hex Cyl + 3 Pan,2,4,8,,22.8116631660992,2.59807621135332,12.1450381056767
47484,"Delta IV DCSS 5 (Delta 4M+(5,4))",41880,2016-075B,,Rocket Body,3510,Cyl + 1 Nozzle,5.09,8.8,8.8,08/12/2016,64.3802344786689,20.3481741571174,58.1462068988749
47485,Cygnus CRS-8E,43006,2017-071A,,Payload,7000,Cyl + 2 Pan,2.9,6.4,10.5,18/12/2017,37.3325357032712,6.60519855417254,23.7977225230762
47486,Antares second stage (Castor 30XL) (Antares 230),43007,2017-071B,,Rocket Body,1185,Cyl,3.9,3.1,3.9,25/11/2017,16.9962575798432,11.9459060652752,15.4684168281127
47487,,,,33802,Unknown,,,,,,,,,
47488,,,,61201,Unknown,,,,,,,,,
47489,,,,148501,Unknown,,,,,,,,,
47490,,,,123800,Unknown,,,,,,,,,
47492,,,,71203,Unknown,,,,,,,,,
47493,,,,154402,Unknown,,,,,,,,,
47494,,,,132901,Unknown,,,,,,,,,
47495,,,,52405,Unknown,,,,,,,,,
47496,,,,75901,Unknown,,,,,,,,,
47497,,,,143423,Unknown,,,,,,,,,
47498,,,,142015,Unknown,,,,,,,,,
47499,,,,81602,Unknown,,,,,,,,,
47500,,,,59203,Unknown,,,,,,,,,
47501,,,,127300,Unknown,,,,,,,,,
47502,,,,23500,Unknown,,,,,,,,,
47503,,,,136402,Unknown,,,,,,,,,
47504,,,,143572,Unknown,,,,,,,,,
47505,,,,130404,Unknown,,,,,,,,,
47507,,,,63606,Unknown,,,,,,,,,
47508,,,,84601,Unknown,,,,,,,,,
47509,,,,142715,Unknown,,,,,,,,,
47510,,,,71805,Unknown,,,,,,,,,
47511,,,,79102,Unknown,,,,,,,,,
47522,Cygnus CRS-8E operational debris,43008,2017-071C,,Payload Mission Related Object,,,,,,15/11/2017,,,
47523,Cygnus CRS-8E operational debris,43009,2017-071D,,Payload Mission Related Object,,,,,,14/11/2017,,,
47524,Fengyun 3D,43010,2017-072A,,Payload,2450,Box + 2 Pan,2,4.4,10,,25.8723977074095,4,15.104
47525,HEAD-1,43011,2017-072B,,Payload,45,Box + 2 Pan,0.2,0.5,2,,0.435549078932343,0.04,0.223066666666667
47526,L-14B-res (YF40B-res) with Xinyun (Long March (CZ) 4C),43012,2017-072C,,Rocket Body,1000,Cyl,2.9,1.92,2.9,,8.63893928327101,5.568,7.67569625088326
47527,MakerSat-0,43016,2017-073D,,Payload,1,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015
47528,NOAA 20,43013,2017-073A,,Payload,2220,Box + 1 Pan,1.4,3.6,10,,14.5605065764063,1.96,8.4344
47529,Buccaneer-RMM,43014,2017-073B,,Payload,4,Box + 2 Pan + 1 Ant,0.1,0.3,3.2,,0.584972209603211,0.01,0.2352
47530,MiRaTA,43015,2017-073C,,Payload,4,Box + 2 Pan,0.1,0.3,0.3,,0.099498743710662,0.03,0.075
47531,RadFxSat,43017,2017-073E,,Payload,1,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015
47532,EagleSat,43018,2017-073F,,Payload,1,Box,0.1,0.1,0.1,,0.0173205080756888,0.01,0.015
